date	available	listing_id
06sep2016	569	3585
07sep2016	931	3585
08sep2016	998	3585
09sep2016	980	3585
10sep2016	955	3585
11sep2016	983	3585
12sep2016	904	3585
13sep2016	859	3585
14sep2016	795	3585
15sep2016	775	3585
16sep2016	769	3585
17sep2016	803	3585
18sep2016	1022	3585
19sep2016	1117	3585
20sep2016	1152	3585
21sep2016	1134	3585
22sep2016	1057	3585
23sep2016	994	3585
24sep2016	910	3585
25sep2016	1087	3585
26sep2016	1124	3585
27sep2016	1138	3585
28sep2016	1206	3585
29sep2016	1089	3585
30sep2016	1035	3585
01oct2016	1079	3585
02oct2016	1283	3585
03oct2016	1409	3585
04oct2016	1447	3585
05oct2016	1406	3585
06oct2016	1331	3585
07oct2016	1217	3585
08oct2016	1220	3585
09oct2016	1410	3585
10oct2016	1537	3585
11oct2016	1569	3585
12oct2016	1541	3585
13oct2016	1492	3585
14oct2016	1404	3585
15oct2016	1337	3585
16oct2016	1391	3585
17oct2016	1462	3585
18oct2016	1555	3585
19oct2016	1547	3585
20oct2016	1456	3585
21oct2016	1361	3585
22oct2016	1378	3585
23oct2016	1584	3585
24oct2016	1714	3585
25oct2016	1707	3585
26oct2016	1713	3585
27oct2016	1684	3585
28oct2016	1678	3585
29oct2016	1722	3585
30oct2016	1817	3585
31oct2016	1863	3585
01nov2016	1881	3585
02nov2016	1885	3585
03nov2016	1887	3585
04nov2016	1919	3585
05nov2016	1937	3585
06nov2016	1974	3585
07nov2016	1915	3585
08nov2016	1854	3585
09nov2016	1844	3585
10nov2016	1765	3585
11nov2016	1792	3585
12nov2016	1846	3585
13nov2016	1917	3585
14nov2016	1978	3585
15nov2016	2017	3585
16nov2016	1990	3585
17nov2016	1884	3585
18nov2016	1871	3585
19nov2016	1894	3585
20nov2016	2020	3585
21nov2016	2075	3585
22nov2016	2055	3585
23nov2016	2057	3585
24nov2016	2066	3585
25nov2016	2067	3585
26nov2016	2087	3585
27nov2016	2087	3585
28nov2016	2085	3585
29nov2016	2099	3585
30nov2016	2110	3585
01dec2016	2127	3585
02dec2016	2163	3585
03dec2016	2177	3585
04dec2016	2206	3585
05dec2016	1900	3585
06dec2016	1903	3585
07dec2016	1904	3585
08dec2016	1906	3585
09dec2016	1921	3585
10dec2016	1930	3585
11dec2016	1923	3585
12dec2016	1921	3585
13dec2016	1925	3585
14dec2016	1929	3585
15dec2016	1933	3585
16dec2016	1951	3585
17dec2016	1958	3585
18dec2016	1951	3585
19dec2016	1942	3585
20dec2016	1946	3585
21dec2016	1954	3585
22dec2016	1954	3585
23dec2016	1939	3585
24dec2016	1934	3585
25dec2016	1938	3585
26dec2016	1932	3585
27dec2016	1940	3585
28dec2016	1959	3585
29dec2016	1959	3585
30dec2016	1983	3585
31dec2016	1985	3585
01jan2017	2027	3585
02jan2017	2027	3585
03jan2017	2023	3585
04jan2017	2031	3585
05jan2017	2039	3585
06jan2017	2045	3585
07jan2017	2048	3585
08jan2017	2037	3585
09jan2017	2037	3585
10jan2017	2039	3585
11jan2017	2042	3585
12jan2017	2042	3585
13jan2017	2053	3585
14jan2017	2055	3585
15jan2017	2045	3585
16jan2017	2048	3585
17jan2017	2044	3585
18jan2017	2045	3585
19jan2017	2047	3585
20jan2017	2041	3585
21jan2017	2041	3585
22jan2017	2034	3585
23jan2017	2027	3585
24jan2017	2027	3585
25jan2017	2029	3585
26jan2017	2030	3585
27jan2017	2038	3585
28jan2017	2040	3585
29jan2017	2034	3585
30jan2017	2032	3585
31jan2017	2034	3585
01feb2017	2013	3585
02feb2017	2012	3585
03feb2017	2021	3585
04feb2017	2021	3585
05feb2017	2018	3585
06feb2017	2016	3585
07feb2017	2016	3585
08feb2017	2017	3585
09feb2017	2017	3585
10feb2017	2026	3585
11feb2017	2029	3585
12feb2017	2024	3585
13feb2017	2023	3585
14feb2017	2024	3585
15feb2017	2027	3585
16feb2017	2028	3585
17feb2017	2042	3585
18feb2017	2042	3585
19feb2017	2040	3585
20feb2017	2036	3585
21feb2017	2036	3585
22feb2017	2040	3585
23feb2017	2037	3585
24feb2017	2041	3585
25feb2017	2040	3585
26feb2017	2040	3585
27feb2017	2041	3585
28feb2017	2043	3585
01mar2017	2021	3585
02mar2017	2021	3585
03mar2017	2026	3585
04mar2017	2027	3585
05mar2017	1742	3585
06mar2017	1739	3585
07mar2017	1739	3585
08mar2017	1739	3585
09mar2017	1735	3585
10mar2017	1741	3585
11mar2017	1741	3585
12mar2017	1740	3585
13mar2017	1739	3585
14mar2017	1741	3585
15mar2017	1742	3585
16mar2017	1741	3585
17mar2017	1745	3585
18mar2017	1743	3585
19mar2017	1746	3585
20mar2017	1742	3585
21mar2017	1747	3585
22mar2017	1747	3585
23mar2017	1748	3585
24mar2017	1754	3585
25mar2017	1756	3585
26mar2017	1751	3585
27mar2017	1745	3585
28mar2017	1747	3585
29mar2017	1746	3585
30mar2017	1743	3585
31mar2017	1747	3585
01apr2017	1752	3585
02apr2017	1750	3585
03apr2017	1741	3585
04apr2017	1741	3585
05apr2017	1740	3585
06apr2017	1741	3585
07apr2017	1744	3585
08apr2017	1744	3585
09apr2017	1743	3585
10apr2017	1736	3585
11apr2017	1730	3585
12apr2017	1727	3585
13apr2017	1696	3585
14apr2017	1618	3585
15apr2017	1545	3585
16apr2017	1533	3585
17apr2017	1545	3585
18apr2017	1684	3585
19apr2017	1725	3585
20apr2017	1740	3585
21apr2017	1751	3585
22apr2017	1744	3585
23apr2017	1735	3585
24apr2017	1732	3585
25apr2017	1732	3585
26apr2017	1733	3585
27apr2017	1734	3585
28apr2017	1738	3585
29apr2017	1745	3585
30apr2017	1763	3585
01may2017	1739	3585
02may2017	1740	3585
03may2017	1736	3585
04may2017	1723	3585
05may2017	1729	3585
06may2017	1731	3585
07may2017	1742	3585
08may2017	1740	3585
09may2017	1744	3585
10may2017	1740	3585
11may2017	1732	3585
12may2017	1736	3585
13may2017	1733	3585
14may2017	1732	3585
15may2017	1734	3585
16may2017	1742	3585
17may2017	1738	3585
18may2017	1713	3585
19may2017	1705	3585
20may2017	1690	3585
21may2017	1693	3585
22may2017	1701	3585
23may2017	1709	3585
24may2017	1704	3585
25may2017	1704	3585
26may2017	1736	3585
27may2017	1738	3585
28may2017	1746	3585
29may2017	1749	3585
30may2017	1750	3585
31may2017	1751	3585
01jun2017	1751	3585
02jun2017	1762	3585
03jun2017	1760	3585
04jun2017	1760	3585
05jun2017	1756	3585
06jun2017	1758	3585
07jun2017	1745	3585
08jun2017	1735	3585
09jun2017	1742	3585
10jun2017	1757	3585
11jun2017	1756	3585
12jun2017	1756	3585
13jun2017	1759	3585
14jun2017	1760	3585
15jun2017	1757	3585
16jun2017	1763	3585
17jun2017	1763	3585
18jun2017	1761	3585
19jun2017	1756	3585
20jun2017	1757	3585
21jun2017	1757	3585
22jun2017	1755	3585
23jun2017	1765	3585
24jun2017	1770	3585
25jun2017	1767	3585
26jun2017	1761	3585
27jun2017	1761	3585
28jun2017	1760	3585
29jun2017	1760	3585
30jun2017	1761	3585
01jul2017	1763	3585
02jul2017	1763	3585
03jul2017	1763	3585
04jul2017	1763	3585
05jul2017	1768	3585
06jul2017	1767	3585
07jul2017	1771	3585
08jul2017	1776	3585
09jul2017	1773	3585
10jul2017	1770	3585
11jul2017	1769	3585
12jul2017	1773	3585
13jul2017	1772	3585
14jul2017	1774	3585
15jul2017	1778	3585
16jul2017	1776	3585
17jul2017	1772	3585
18jul2017	1772	3585
19jul2017	1771	3585
20jul2017	1771	3585
21jul2017	1778	3585
22jul2017	1780	3585
23jul2017	1778	3585
24jul2017	1776	3585
25jul2017	1777	3585
26jul2017	1776	3585
27jul2017	1775	3585
28jul2017	1780	3585
29jul2017	1781	3585
30jul2017	1779	3585
31jul2017	1778	3585
01aug2017	1782	3585
02aug2017	1783	3585
03aug2017	1784	3585
